"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
5.797589426E1,6.499896976E1,2.559508850E1,3.033485690E1,1.232491612E0,3.233506775E2,4.699999809E0,0.000000000E0
5.898411145E1,6.499897987E1,2.559507292E1,3.018836883E1,1.320160508E0,3.251897278E2,4.699999809E0,0.000000000E0
5.997359687E1,6.499899041E1,2.559505717E1,3.002795372E1,1.363968134E0,3.251588745E2,4.699999809E0,0.000000000E0
6.097680207E1,6.499900093E1,2.559504082E1,2.981817650E1,1.395506978E0,3.242448730E2,5.023106098E0,0.000000000E0
6.198965520E1,6.499901154E1,2.559502391E1,2.971735862E1,1.437915802E0,3.240327759E2,4.699999809E0,0.000000000E0
6.297709166E1,6.499902226E1,2.559500657E1,2.978156852E1,1.467902541E0,3.238101807E2,4.699999809E0,0.000000000E0
6.397453020E1,6.499903314E1,2.559498972E1,2.978417115E1,1.475204110E0,3.254277039E2,4.699999809E0,0.000000000E0
6.497475728E1,6.499904412E1,2.559497295E1,2.975507373E1,1.477844357E0,3.264295654E2,4.699999809E0,0.000000000E0
6.598119999E1,6.499905503E1,2.559495525E1,2.983303203E1,1.483495831E0,3.247798767E2,4.699999809E0,0.000000000E0
6.698745728E1,6.499906619E1,2.559493744E1,2.961313520E1,1.490823746E0,3.257719116E2,4.699999809E0,0.000000000E0
6.799730988E1,6.499907751E1,2.559491901E1,2.963147788E1,1.495405316E0,3.255775757E2,4.699999809E0,0.000000000E0
6.898940364E1,6.499908825E1,2.559489810E1,2.948372460E1,1.499370456E0,3.203108521E2,6.032413483E0,0.000000000E0
6.998602030E1,6.499910014E1,2.559487989E1,2.944438958E1,1.504364848E0,3.270736389E2,4.699999809E0,0.000000000E0
7.098518749E1,6.499911208E1,2.559486125E1,2.946531925E1,1.504338264E0,3.258341370E2,4.699999809E0,0.000000000E0
7.199146197E1,6.499912339E1,2.559484077E1,2.948103386E1,1.504460096E0,3.214306030E2,4.699999809E0,0.000000000E0
7.298652759E1,6.499913527E1,2.559482233E1,2.951181299E1,1.508293509E0,3.262727661E2,4.699999809E0,0.000000000E0
7.399019322E1,6.499914679E1,2.559480286E1,2.927593313E1,1.508423567E0,3.230500488E2,4.699999809E0,0.000000000E0
7.501645155E1,6.499915903E1,2.559478561E1,2.900165493E1,1.508458853E0,3.284020996E2,4.699999809E0,0.000000000E0
7.597582499E1,6.499917069E1,2.559476588E1,2.869203713E1,1.510541558E0,3.225079651E2,4.699999809E0,0.000000000E0
7.698530103E1,6.499918320E1,2.559474789E1,2.862953602E1,1.511871815E0,3.271409302E2,4.699999809E0,0.000000000E0
7.799034061E1,6.499919570E1,2.559472912E1,2.856024483E1,1.512832165E0,3.245905762E2,4.699999809E0,0.000000000E0
7.897364790E1,6.499920794E1,2.559470984E1,2.854376412E1,1.513990045E0,3.221016235E2,4.699999809E0,0.000000000E0
7.998641718E1,6.499922084E1,2.559469372E1,2.840199372E1,1.513329268E0,3.285679932E2,4.699999809E0,0.000000000E0
8.099316561E1,6.499923355E1,2.559467834E1,2.838730970E1,1.511523128E0,3.291757202E2,4.699999809E0,0.000000000E0
8.197229530E1,6.499924577E1,2.559466262E1,2.839553250E1,1.506299734E0,3.272659302E2,4.699999809E0,0.000000000E0
8.298528645E1,6.499925614E1,2.559464941E1,2.832678790E1,1.277176261E0,3.274116516E2,4.699999809E0,0.000000000E0
8.398637759E1,6.499926496E1,2.559463612E1,2.819073533E1,1.119177699E0,3.242020264E2,4.699999809E0,0.000000000E0
8.497679322E1,6.499927516E1,2.559461573E1,2.824852879E1,1.455381989E0,3.174803467E2,4.699999809E0,0.000000000E0
