"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.289330673E0,1.221999973E-1,-1.076999977E-1,-1.028999984E-1
3.299330673E0,1.234999970E-1,-5.959999934E-2,-7.339999825E-2
3.309330673E0,6.639999896E-2,-5.999999866E-2,1.489999983E-2
3.319330673E0,4.809999838E-2,-1.288999915E-1,2.479999885E-2
3.329330673E0,1.030000020E-2,-2.179999948E-1,-6.329999864E-2
3.339330673E0,-7.660000026E-2,-2.876999974E-1,-6.319999695E-2
3.349330673E0,-5.659999698E-2,-2.985999882E-1,-4.349999875E-2
3.359330673E0,-1.819999889E-2,-2.904999852E-1,-1.219999939E-1
3.369330673E0,5.709999800E-2,-2.340999991E-1,-1.123999953E-1
3.379330673E0,9.149999917E-2,-1.278000027E-1,4.399999976E-2
3.389330673E0,1.136999950E-1,-6.039999798E-2,2.494999915E-1
3.399330673E0,4.820000008E-2,-8.109999448E-2,3.666999936E-1
3.409330673E0,-3.449999914E-2,-1.506000012E-1,4.153999984E-1
3.419330673E0,-1.042999998E-1,-2.201999873E-1,3.858999908E-1
3.429330673E0,-1.419000030E-1,-2.114999890E-1,2.978000045E-1
3.439330673E0,-1.887999922E-1,-1.638000011E-1,3.175999820E-1
3.449330673E0,-2.260999978E-1,-1.666999906E-1,2.588999867E-1
3.459330673E0,-2.348999977E-1,-2.106999904E-1,1.314999908E-1
3.469330673E0,-2.261999995E-1,-2.365999967E-1,1.118999943E-1
3.479330673E0,-1.792999953E-1,-1.833999902E-1,1.314000040E-1
3.489330673E0,-1.040999964E-1,-8.240000159E-2,1.605999917E-1
3.499330673E0,1.960000023E-2,5.680000037E-2,1.702999920E-1
3.509330673E0,1.144999936E-1,6.759999692E-2,7.209999859E-2
3.519330673E0,1.700999886E-1,5.729999766E-2,-6.399999838E-3
3.529330673E0,2.273999900E-1,2.009999938E-2,-2.599999867E-2
3.539330673E0,2.568999827E-1,2.899999963E-3,-4.549999908E-2
3.549330673E0,2.099999934E-1,-1.349999942E-2,-2.569999918E-2
3.559330673E0,1.544999927E-1,-8.200000040E-3,-7.440000027E-2
3.569330673E0,1.013999954E-1,-4.239999875E-2,-1.425999999E-1
3.579330673E0,1.052000001E-1,-4.580000043E-2,-2.010999918E-1
3.589330673E0,3.799999878E-2,-7.869999856E-2,-2.500000000E-1
3.599330673E0,-2.399999881E-3,-8.179999888E-2,-2.401999980E-1
3.609330673E0,-7.589999586E-2,-8.429999650E-2,-1.228000000E-1
3.619330673E0,-1.331999898E-1,-8.669999987E-2,1.379999984E-2
3.629330673E0,-1.599999964E-1,-1.669999957E-1,1.507000029E-1
3.639330673E0,-1.675999910E-1,-1.798999906E-1,1.599999964E-1
3.649330673E0,-1.342999935E-1,-1.931999922E-1,1.792999953E-1
3.659330673E0,-8.850000054E-2,-1.966999918E-1,1.400000006E-1
3.669330673E0,-2.969999984E-2,-2.101999968E-1,2.229999937E-2
3.679330673E0,1.500000013E-3,-2.029999942E-1,-8.529999852E-2
3.689330673E0,5.269999802E-2,-1.858000010E-1,-1.732999980E-1
3.699330673E0,1.217999980E-1,-1.485999972E-1,-1.732999980E-1
3.709330673E0,1.491999924E-1,-1.106999964E-1,-1.439999938E-1
3.719330673E0,1.746999919E-1,-6.260000169E-2,-1.049999967E-1
3.729330673E0,1.705999970E-1,-3.799999831E-3,2.499999944E-3
3.739330673E0,1.359999925E-1,-3.280000016E-2,1.100999936E-1
3.749330673E0,1.118000001E-1,-1.110999957E-1,8.039999753E-2
3.759330673E0,8.869999647E-2,-1.211999953E-1,8.009999990E-2
